  c =    0.100000000000000E+03
 l =      0
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    50.00000000000000        0.218720186484404E-09     0.140191491159961E-07
                             0.000000000000000E+00     0.000000000000000E+00   3
    60.00000000000000        0.467752168991503E-05     0.233247722763991E-03
                             0.000000000000000E+00     0.000000000000000E+00   7
    70.00000000000000        0.725959579913173E-02     0.247651105599889E+00
                             0.000000000000000E+00     0.000000000000000E+00  10
    80.00000000000000        0.653479773734555E+00     0.113188985873365E+02
                             0.000000000000000E+00     0.000000000000000E+00  12
    90.00000000000000        0.297415153675016E+01     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00  13
 l =      1
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    50.00000000000000        0.224388438471680E-08     0.140331385464467E-06
                             0.218720395387425E-09     0.140191492648982E-07   3
    60.00000000000000        0.353221328308955E-04     0.169069155841320E-02
                             0.467752169021664E-05     0.233247722764097E-03   7
